county_state,fips,county,state,population
"Ector, Texas",48135,Ector,Texas,166223
"Edwards, Texas",48137,Edwards,Texas,1932
"Ellis, Texas",48139,Ellis,Texas,184826
"El Paso, Texas",48141,El Paso,Texas,839238
"Erath, Texas",48143,Erath,Texas,42698
"Falls, Texas",48145,Falls,Texas,17297
"Fannin, Texas",48147,Fannin,Texas,35514
"Fayette, Texas",48149,Fayette,Texas,25346
"Fisher, Texas",48151,Fisher,Texas,3830
"Floyd, Texas",48153,Floyd,Texas,5712
"Foard, Texas",48155,Foard,Texas,1155
"Fort Bend, Texas",48157,Fort Bend,Texas,811688
"Franklin, Texas",48159,Franklin,Texas,10725
"Freestone, Texas",48161,Freestone,Texas,19717
"Frio, Texas",48163,Frio,Texas,20306
"Gaines, Texas",48165,Gaines,Texas,21492
"Galveston, Texas",48167,Galveston,Texas,342139
"Garza, Texas",48169,Garza,Texas,6229
"Gillespie, Texas",48171,Gillespie,Texas,26988
"Glasscock, Texas",48173,Glasscock,Texas,1409
"Goliad, Texas",48175,Goliad,Texas,7658
"Gonzales, Texas",48177,Gonzales,Texas,20837
"Gray, Texas",48179,Gray,Texas,21886
"Grayson, Texas",48181,Grayson,Texas,136212
"Gregg, Texas",48183,Gregg,Texas,123945
"Grimes, Texas",48185,Grimes,Texas,28880
"Guadalupe, Texas",48187,Guadalupe,Texas,166847
"Hale, Texas",48189,Hale,Texas,33406
"Hall, Texas",48191,Hall,Texas,2964
"Hamilton, Texas",48193,Hamilton,Texas,8461
"Hansford, Texas",48195,Hansford,Texas,5399
"Hardeman, Texas",48197,Hardeman,Texas,3933
"Hardin, Texas",48199,Hardin,Texas,57602
"Harris, Texas",48201,Harris,Texas,4713325
"Harrison, Texas",48203,Harrison,Texas,66553
"Hartley, Texas",48205,Hartley,Texas,5576
"Haskell, Texas",48207,Haskell,Texas,5658
"Hays, Texas",48209,Hays,Texas,230191
"Hemphill, Texas",48211,Hemphill,Texas,3819
"Henderson, Texas",48213,Henderson,Texas,82737
"Hidalgo, Texas",48215,Hidalgo,Texas,868707
"Hill, Texas",48217,Hill,Texas,36649
"Hockley, Texas",48219,Hockley,Texas,23021
"Hood, Texas",48221,Hood,Texas,61643
"Hopkins, Texas",48223,Hopkins,Texas,37084
"Houston, Texas",48225,Houston,Texas,22968
"Howard, Texas",48227,Howard,Texas,36664
"Hudspeth, Texas",48229,Hudspeth,Texas,4886
"Hunt, Texas",48231,Hunt,Texas,98594
"Hutchinson, Texas",48233,Hutchinson,Texas,20938
"Irion, Texas",48235,Irion,Texas,1536
"Jack, Texas",48237,Jack,Texas,8935
"Jackson, Texas",48239,Jackson,Texas,14760
"Jasper, Texas",48241,Jasper,Texas,35529
"Jeff Davis, Texas",48243,Jeff Davis,Texas,2274
"Jefferson, Texas",48245,Jefferson,Texas,251565
"Jim Hogg, Texas",48247,Jim Hogg,Texas,5200
"Jim Wells, Texas",48249,Jim Wells,Texas,40482
"Johnson, Texas",48251,Johnson,Texas,175817
"Jones, Texas",48253,Jones,Texas,20083
"Karnes, Texas",48255,Karnes,Texas,15601
"Kaufman, Texas",48257,Kaufman,Texas,136154
"Kendall, Texas",48259,Kendall,Texas,47431
"Kenedy, Texas",48261,Kenedy,Texas,404
"Kent, Texas",48263,Kent,Texas,762
"Kerr, Texas",48265,Kerr,Texas,52600
"Kimble, Texas",48267,Kimble,Texas,4337
"King, Texas",48269,King,Texas,272
"Kinney, Texas",48271,Kinney,Texas,3667
"Kleberg, Texas",48273,Kleberg,Texas,30680
"Knox, Texas",48275,Knox,Texas,3664
"Lamar, Texas",48277,Lamar,Texas,49859
"Lamb, Texas",48279,Lamb,Texas,12893
"Lampasas, Texas",48281,Lampasas,Texas,21428
"La Salle, Texas",48283,La Salle,Texas,7520
"Lavaca, Texas",48285,Lavaca,Texas,20154
"Lee, Texas",48287,Lee,Texas,17239
"Leon, Texas",48289,Leon,Texas,17404
"Liberty, Texas",48291,Liberty,Texas,88219
"Limestone, Texas",48293,Limestone,Texas,23437
"Lipscomb, Texas",48295,Lipscomb,Texas,3233
"Live Oak, Texas",48297,Live Oak,Texas,12207
"Llano, Texas",48299,Llano,Texas,21795
"Loving, Texas",48301,Loving,Texas,169
"Lubbock, Texas",48303,Lubbock,Texas,310569
"Lynn, Texas",48305,Lynn,Texas,5951
"McCulloch, Texas",48307,McCulloch,Texas,7984
"McLennan, Texas",48309,McLennan,Texas,256623
"McMullen, Texas",48311,McMullen,Texas,743
"Madison, Texas",48313,Madison,Texas,14284
"Marion, Texas",48315,Marion,Texas,9854
"Martin, Texas",48317,Martin,Texas,5771
"Mason, Texas",48319,Mason,Texas,4274
"Matagorda, Texas",48321,Matagorda,Texas,36643
"Maverick, Texas",48323,Maverick,Texas,58722
"Medina, Texas",48325,Medina,Texas,51584
"Menard, Texas",48327,Menard,Texas,2138
"Midland, Texas",48329,Midland,Texas,176832
"Milam, Texas",48331,Milam,Texas,24823
"Mills, Texas",48333,Mills,Texas,4873
"Mitchell, Texas",48335,Mitchell,Texas,8545
"Montague, Texas",48337,Montague,Texas,19818
"Montgomery, Texas",48339,Montgomery,Texas,607391
"Moore, Texas",48341,Moore,Texas,20940
"Morris, Texas",48343,Morris,Texas,12388
"Motley, Texas",48345,Motley,Texas,1200
"Nacogdoches, Texas",48347,Nacogdoches,Texas,65204
"Navarro, Texas",48349,Navarro,Texas,50113
"Newton, Texas",48351,Newton,Texas,13595
"Nolan, Texas",48353,Nolan,Texas,14714
"Nueces, Texas",48355,Nueces,Texas,362294
"Ochiltree, Texas",48357,Ochiltree,Texas,9836
"Oldham, Texas",48359,Oldham,Texas,2112
"Orange, Texas",48361,Orange,Texas,83396
"Palo Pinto, Texas",48363,Palo Pinto,Texas,29189
"Panola, Texas",48365,Panola,Texas,23194
"Parker, Texas",48367,Parker,Texas,142878
"Parmer, Texas",48369,Parmer,Texas,9605
"Pecos, Texas",48371,Pecos,Texas,15823
"Polk, Texas",48373,Polk,Texas,51353
"Potter, Texas",48375,Potter,Texas,117415
"Presidio, Texas",48377,Presidio,Texas,6704
"Rains, Texas",48379,Rains,Texas,12514
"Randall, Texas",48381,Randall,Texas,137713
"Reagan, Texas",48383,Reagan,Texas,3849
"Real, Texas",48385,Real,Texas,3452
"Red River, Texas",48387,Red River,Texas,12023
"Reeves, Texas",48389,Reeves,Texas,15976
"Refugio, Texas",48391,Refugio,Texas,6948
"Roberts, Texas",48393,Roberts,Texas,854
"Robertson, Texas",48395,Robertson,Texas,17074
"Rockwall, Texas",48397,Rockwall,Texas,104915
"Runnels, Texas",48399,Runnels,Texas,10264
"Rusk, Texas",48401,Rusk,Texas,54406
"Sabine, Texas",48403,Sabine,Texas,10542
"San Augustine, Texas",48405,San Augustine,Texas,8237
"San Jacinto, Texas",48407,San Jacinto,Texas,28859
"San Patricio, Texas",48409,San Patricio,Texas,66730
"San Saba, Texas",48411,San Saba,Texas,6055
"Schleicher, Texas",48413,Schleicher,Texas,2793
"Scurry, Texas",48415,Scurry,Texas,16703
"Shackelford, Texas",48417,Shackelford,Texas,3265
"Shelby, Texas",48419,Shelby,Texas,25274
"Sherman, Texas",48421,Sherman,Texas,3022
"Smith, Texas",48423,Smith,Texas,232751
"Somervell, Texas",48425,Somervell,Texas,9128
"Starr, Texas",48427,Starr,Texas,64633
"Stephens, Texas",48429,Stephens,Texas,9366
"Sterling, Texas",48431,Sterling,Texas,1291
"Stonewall, Texas",48433,Stonewall,Texas,1350
"Sutton, Texas",48435,Sutton,Texas,3776
"Swisher, Texas",48437,Swisher,Texas,7397
"Tarrant, Texas",48439,Tarrant,Texas,2102515
"Taylor, Texas",48441,Taylor,Texas,138034
"Terrell, Texas",48443,Terrell,Texas,776
"Terry, Texas",48445,Terry,Texas,12337
"Throckmorton, Texas",48447,Throckmorton,Texas,1501
"Titus, Texas",48449,Titus,Texas,32750
"Tom Green, Texas",48451,Tom Green,Texas,119200
"Travis, Texas",48453,Travis,Texas,1273954
"Trinity, Texas",48455,Trinity,Texas,14651
"Tyler, Texas",48457,Tyler,Texas,21672
"Upshur, Texas",48459,Upshur,Texas,41753
"Upton, Texas",48461,Upton,Texas,3657
"Uvalde, Texas",48463,Uvalde,Texas,26741
"Val Verde, Texas",48465,Val Verde,Texas,49025
"Van Zandt, Texas",48467,Van Zandt,Texas,56590
"Victoria, Texas",48469,Victoria,Texas,92084
"Walker, Texas",48471,Walker,Texas,72971
"Waller, Texas",48473,Waller,Texas,55246
"Ward, Texas",48475,Ward,Texas,11998
"Washington, Texas",48477,Washington,Texas,35882
"Webb, Texas",48479,Webb,Texas,276652
"Wharton, Texas",48481,Wharton,Texas,41556
"Wheeler, Texas",48483,Wheeler,Texas,5056
"Wichita, Texas",48485,Wichita,Texas,132230
"Wilbarger, Texas",48487,Wilbarger,Texas,12769
"Willacy, Texas",48489,Willacy,Texas,21358
"Williamson, Texas",48491,Williamson,Texas,590551
"Wilson, Texas",48493,Wilson,Texas,51070
"Winkler, Texas",48495,Winkler,Texas,8010
"Wise, Texas",48497,Wise,Texas,69984
"Wood, Texas",48499,Wood,Texas,45539
"Yoakum, Texas",48501,Yoakum,Texas,8713
"Young, Texas",48503,Young,Texas,18010
"Zapata, Texas",48505,Zapata,Texas,14179
"Zavala, Texas",48507,Zavala,Texas,11840
"Beaver, Utah",49001,Beaver,Utah,6710
"Box Elder, Utah",49003,Box Elder,Utah,56046
"Cache, Utah",49005,Cache,Utah,128289
"Carbon, Utah",49007,Carbon,Utah,20463
"Daggett, Utah",49009,Daggett,Utah,950
"Davis, Utah",49011,Davis,Utah,355481
"Duchesne, Utah",49013,Duchesne,Utah,19938
"Emery, Utah",49015,Emery,Utah,10012
"Garfield, Utah",49017,Garfield,Utah,5051
"Grand, Utah",49019,Grand,Utah,9754
"Iron, Utah",49021,Iron,Utah,54839
"Juab, Utah",49023,Juab,Utah,12017
"Kane, Utah",49025,Kane,Utah,7886
"Millard, Utah",49027,Millard,Utah,13188
"Morgan, Utah",49029,Morgan,Utah,12124
"Piute, Utah",49031,Piute,Utah,1479
"Rich, Utah",49033,Rich,Utah,2483
"Salt Lake, Utah",49035,Salt Lake,Utah,1160437
"San Juan, Utah",49037,San Juan,Utah,15308
"Sanpete, Utah",49039,Sanpete,Utah,30939
"Sevier, Utah",49041,Sevier,Utah,21620
"Summit, Utah",49043,Summit,Utah,42145
"Tooele, Utah",49045,Tooele,Utah,72259
"Uintah, Utah",49047,Uintah,Utah,35734
"Utah, Utah",49049,Utah,Utah,636235
"Wasatch, Utah",49051,Wasatch,Utah,34091
"Washington, Utah",49053,Washington,Utah,177556
"Wayne, Utah",49055,Wayne,Utah,2711
"Weber, Utah",49057,Weber,Utah,260213
"Addison, Vermont",50001,Addison,Vermont,36777
"Bennington, Vermont",50003,Bennington,Vermont,35470
"Caledonia, Vermont",50005,Caledonia,Vermont,29993
"Chittenden, Vermont",50007,Chittenden,Vermont,163774
"Essex, Vermont",50009,Essex,Vermont,6163
"Franklin, Vermont",50011,Franklin,Vermont,49402
"Grand Isle, Vermont",50013,Grand Isle,Vermont,7235
"Lamoille, Vermont",50015,Lamoille,Vermont,25362
"Orange, Vermont",50017,Orange,Vermont,28892
"Orleans, Vermont",50019,Orleans,Vermont,27037
"Rutland, Vermont",50021,Rutland,Vermont,58191
"Washington, Vermont",50023,Washington,Vermont,58409
"Windham, Vermont",50025,Windham,Vermont,42222
"Windsor, Vermont",50027,Windsor,Vermont,55062
"Accomack, Virginia",51001,Accomack,Virginia,32316
"Albemarle, Virginia",51003,Albemarle,Virginia,109330
"Alleghany, Virginia",51005,Alleghany,Virginia,14860
"Amelia, Virginia",51007,Amelia,Virginia,13145
"Amherst, Virginia",51009,Amherst,Virginia,31605
"Appomattox, Virginia",51011,Appomattox,Virginia,15911
"Arlington, Virginia",51013,Arlington,Virginia,236842
"Augusta, Virginia",51015,Augusta,Virginia,75558
"Bath, Virginia",51017,Bath,Virginia,4147
"Bedford, Virginia",51019,Bedford,Virginia,78997
"Bland, Virginia",51021,Bland,Virginia,6280
"Botetourt, Virginia",51023,Botetourt,Virginia,33419
"Brunswick, Virginia",51025,Brunswick,Virginia,16231
"Buchanan, Virginia",51027,Buchanan,Virginia,21004
"Buckingham, Virginia",51029,Buckingham,Virginia,17148
"Campbell, Virginia",51031,Campbell,Virginia,54885
"Caroline, Virginia",51033,Caroline,Virginia,30725
"Carroll, Virginia",51035,Carroll,Virginia,29791
"Charles City, Virginia",51036,Charles City,Virginia,6963
"Charlotte, Virginia",51037,Charlotte,Virginia,11880
"Chesterfield, Virginia",51041,Chesterfield,Virginia,352802
"Clarke, Virginia",51043,Clarke,Virginia,14619
"Craig, Virginia",51045,Craig,Virginia,5131
"Culpeper, Virginia",51047,Culpeper,Virginia,52605
"Cumberland, Virginia",51049,Cumberland,Virginia,9932
"Dickenson, Virginia",51051,Dickenson,Virginia,14318
"Dinwiddie, Virginia",51053,Dinwiddie,Virginia,28544
"Essex, Virginia",51057,Essex,Virginia,10953
"Fairfax, Virginia",51059,Fairfax,Virginia,1147532
"Fauquier, Virginia",51061,Fauquier,Virginia,71222
"Floyd, Virginia",51063,Floyd,Virginia,15749
"Fluvanna, Virginia",51065,Fluvanna,Virginia,27270
"Franklin, Virginia",51067,Franklin,Virginia,56042
"Frederick, Virginia",51069,Frederick,Virginia,89313
"Giles, Virginia",51071,Giles,Virginia,16720
"Gloucester, Virginia",51073,Gloucester,Virginia,37348
"Goochland, Virginia",51075,Goochland,Virginia,23753
"Grayson, Virginia",51077,Grayson,Virginia,15550
"Greene, Virginia",51079,Greene,Virginia,19819
"Greensville, Virginia",51081,Greensville,Virginia,11336
"Halifax, Virginia",51083,Halifax,Virginia,33911
"Hanover, Virginia",51085,Hanover,Virginia,107766
"Henrico, Virginia",51087,Henrico,Virginia,330818
"Henry, Virginia",51089,Henry,Virginia,50557
"Highland, Virginia",51091,Highland,Virginia,2190
"Isle of Wight, Virginia",51093,Isle of Wight,Virginia,37109
"James City, Virginia",51095,James City,Virginia,76523
"King and Queen, Virginia",51097,King and Queen,Virginia,7025
"King George, Virginia",51099,King George,Virginia,26836
"King William, Virginia",51101,King William,Virginia,17148
"Lancaster, Virginia",51103,Lancaster,Virginia,10603
"Lee, Virginia",51105,Lee,Virginia,23423
"Loudoun, Virginia",51107,Loudoun,Virginia,413538
"Louisa, Virginia",51109,Louisa,Virginia,37591
"Lunenburg, Virginia",51111,Lunenburg,Virginia,12196
"Madison, Virginia",51113,Madison,Virginia,13261
"Mathews, Virginia",51115,Mathews,Virginia,8834
"Mecklenburg, Virginia",51117,Mecklenburg,Virginia,30587
"Middlesex, Virginia",51119,Middlesex,Virginia,10582
"Montgomery, Virginia",51121,Montgomery,Virginia,98535
"Nelson, Virginia",51125,Nelson,Virginia,14930
"New Kent, Virginia",51127,New Kent,Virginia,23091
"Northampton, Virginia",51131,Northampton,Virginia,11710
"Northumberland, Virginia",51133,Northumberland,Virginia,12095
"Nottoway, Virginia",51135,Nottoway,Virginia,15232
"Orange, Virginia",51137,Orange,Virginia,37051
"Page, Virginia",51139,Page,Virginia,23902
"Patrick, Virginia",51141,Patrick,Virginia,17608
"Pittsylvania, Virginia",51143,Pittsylvania,Virginia,60354
"Powhatan, Virginia",51145,Powhatan,Virginia,29652
"Prince Edward, Virginia",51147,Prince Edward,Virginia,22802
"Prince George, Virginia",51149,Prince George,Virginia,38353
"Prince William, Virginia",51153,Prince William,Virginia,470335
"Pulaski, Virginia",51155,Pulaski,Virginia,34027
"Rappahannock, Virginia",51157,Rappahannock,Virginia,7370
"Richmond, Virginia",51159,Richmond,Virginia,9023
"Roanoke, Virginia",51161,Roanoke,Virginia,94186
"Rockbridge, Virginia",51163,Rockbridge,Virginia,22573
"Rockingham, Virginia",51165,Rockingham,Virginia,81948
"Russell, Virginia",51167,Russell,Virginia,26586
"Scott, Virginia",51169,Scott,Virginia,21566
"Shenandoah, Virginia",51171,Shenandoah,Virginia,43616
"Smyth, Virginia",51173,Smyth,Virginia,30104
"Southampton, Virginia",51175,Southampton,Virginia,17631
"Spotsylvania, Virginia",51177,Spotsylvania,Virginia,136215
"Stafford, Virginia",51179,Stafford,Virginia,152882
"Surry, Virginia",51181,Surry,Virginia,6422
"Sussex, Virginia",51183,Sussex,Virginia,11159
"Tazewell, Virginia",51185,Tazewell,Virginia,40595
"Warren, Virginia",51187,Warren,Virginia,40164
"Washington, Virginia",51191,Washington,Virginia,53740
"Westmoreland, Virginia",51193,Westmoreland,Virginia,18015
"Wise, Virginia",51195,Wise,Virginia,37383
"Wythe, Virginia",51197,Wythe,Virginia,28684
"York, Virginia",51199,York,Virginia,68280
"Alexandria city, Virginia",51510,Alexandria city,Virginia,159428
"Bristol city, Virginia",51520,Bristol city,Virginia,16762
"Buena Vista city, Virginia",51530,Buena Vista city,Virginia,6478
"Charlottesville city, Virginia",51540,Charlottesville city,Virginia,47266
"Chesapeake city, Virginia",51550,Chesapeake city,Virginia,244835
"Colonial Heights city, Virginia",51570,Colonial Heights city,Virginia,17370
"Covington city, Virginia",51580,Covington city,Virginia,5538
"Danville city, Virginia",51590,Danville city,Virginia,40044
"Emporia city, Virginia",51595,Emporia city,Virginia,5346
"Fairfax city, Virginia",51600,Fairfax city,Virginia,24019
"Falls Church city, Virginia",51610,Falls Church city,Virginia,14617
"Franklin city, Virginia",51620,Franklin city,Virginia,7967
"Fredericksburg city, Virginia",51630,Fredericksburg city,Virginia,29036
"Galax city, Virginia",51640,Galax city,Virginia,6347
"Hampton city, Virginia",51650,Hampton city,Virginia,134510
"Harrisonburg city, Virginia",51660,Harrisonburg city,Virginia,53016
"Hopewell city, Virginia",51670,Hopewell city,Virginia,22529
"Lexington city, Virginia",51678,Lexington city,Virginia,7446
"Lynchburg city, Virginia",51680,Lynchburg city,Virginia,82168
"Manassas city, Virginia",51683,Manassas city,Virginia,41085
"Manassas Park city, Virginia",51685,Manassas Park city,Virginia,17478
"Martinsville city, Virginia",51690,Martinsville city,Virginia,12554
"Newport News city, Virginia",51700,Newport News city,Virginia,179225
"Norfolk city, Virginia",51710,Norfolk city,Virginia,242742
"Norton city, Virginia",51720,Norton city,Virginia,3981
"Petersburg city, Virginia",51730,Petersburg city,Virginia,31346
"Poquoson city, Virginia",51735,Poquoson city,Virginia,12271
"Portsmouth city, Virginia",51740,Portsmouth city,Virginia,94398
"Radford city, Virginia",51750,Radford city,Virginia,18249
"Richmond city, Virginia",51760,Richmond city,Virginia,230436
"Roanoke city, Virginia",51770,Roanoke city,Virginia,99143
"Salem city, Virginia",51775,Salem city,Virginia,25301
"Staunton city, Virginia",51790,Staunton city,Virginia,24932
"Suffolk city, Virginia",51800,Suffolk city,Virginia,92108
"Virginia Beach city, Virginia",51810,Virginia Beach city,Virginia,449974
"Waynesboro city, Virginia",51820,Waynesboro city,Virginia,22630
"Williamsburg city, Virginia",51830,Williamsburg city,Virginia,14954
"Winchester city, Virginia",51840,Winchester city,Virginia,28078
"Adams, Washington",53001,Adams,Washington,19983
"Asotin, Washington",53003,Asotin,Washington,22582
"Benton, Washington",53005,Benton,Washington,204390
"Chelan, Washington",53007,Chelan,Washington,77200
"Clallam, Washington",53009,Clallam,Washington,77331
"Clark, Washington",53011,Clark,Washington,488241
"Columbia, Washington",53013,Columbia,Washington,3985
"Cowlitz, Washington",53015,Cowlitz,Washington,110593
"Douglas, Washington",53017,Douglas,Washington,43429
"Ferry, Washington",53019,Ferry,Washington,7627
"Franklin, Washington",53021,Franklin,Washington,95222
"Garfield, Washington",53023,Garfield,Washington,2225
"Grant, Washington",53025,Grant,Washington,97733
"Grays Harbor, Washington",53027,Grays Harbor,Washington,75061
"Island, Washington",53029,Island,Washington,85141
"Jefferson, Washington",53031,Jefferson,Washington,32221
"King, Washington",53033,King,Washington,2252782
"Kitsap, Washington",53035,Kitsap,Washington,271473
"Kittitas, Washington",53037,Kittitas,Washington,47935
"Klickitat, Washington",53039,Klickitat,Washington,22425
"Lewis, Washington",53041,Lewis,Washington,80707
"Lincoln, Washington",53043,Lincoln,Washington,10939
"Mason, Washington",53045,Mason,Washington,66768
"Okanogan, Washington",53047,Okanogan,Washington,42243
"Pacific, Washington",53049,Pacific,Washington,22471
"Pend Oreille, Washington",53051,Pend Oreille,Washington,13724
"Pierce, Washington",53053,Pierce,Washington,904980
"San Juan, Washington",53055,San Juan,Washington,17582
"Skagit, Washington",53057,Skagit,Washington,129205
"Skamania, Washington",53059,Skamania,Washington,12083
"Snohomish, Washington",53061,Snohomish,Washington,822083
"Spokane, Washington",53063,Spokane,Washington,522798
"Stevens, Washington",53065,Stevens,Washington,45723
"Thurston, Washington",53067,Thurston,Washington,290536
"Wahkiakum, Washington",53069,Wahkiakum,Washington,4488
"Walla Walla, Washington",53071,Walla Walla,Washington,60760
"Whatcom, Washington",53073,Whatcom,Washington,229247
"Whitman, Washington",53075,Whitman,Washington,50104
"Yakima, Washington",53077,Yakima,Washington,250873
"Barbour, West Virginia",54001,Barbour,West Virginia,16441
"Berkeley, West Virginia",54003,Berkeley,West Virginia,119171
"Boone, West Virginia",54005,Boone,West Virginia,21457
"Braxton, West Virginia",54007,Braxton,West Virginia,13957
"Brooke, West Virginia",54009,Brooke,West Virginia,21939
"Cabell, West Virginia",54011,Cabell,West Virginia,91945
"Calhoun, West Virginia",54013,Calhoun,West Virginia,7109
"Clay, West Virginia",54015,Clay,West Virginia,8508
"Doddridge, West Virginia",54017,Doddridge,West Virginia,8448
"Fayette, West Virginia",54019,Fayette,West Virginia,42406
"Gilmer, West Virginia",54021,Gilmer,West Virginia,7823
"Grant, West Virginia",54023,Grant,West Virginia,11568
"Greenbrier, West Virginia",54025,Greenbrier,West Virginia,34662
"Hampshire, West Virginia",54027,Hampshire,West Virginia,23175
"Hancock, West Virginia",54029,Hancock,West Virginia,28810
"Hardy, West Virginia",54031,Hardy,West Virginia,13776
"Harrison, West Virginia",54033,Harrison,West Virginia,67256
"Jackson, West Virginia",54035,Jackson,West Virginia,28576
"Jefferson, West Virginia",54037,Jefferson,West Virginia,57146
"Kanawha, West Virginia",54039,Kanawha,West Virginia,178124
"Lewis, West Virginia",54041,Lewis,West Virginia,15907
"Lincoln, West Virginia",54043,Lincoln,West Virginia,20409
"Logan, West Virginia",54045,Logan,West Virginia,32019
"McDowell, West Virginia",54047,McDowell,West Virginia,17624
"Marion, West Virginia",54049,Marion,West Virginia,56072
"Marshall, West Virginia",54051,Marshall,West Virginia,30531
"Mason, West Virginia",54053,Mason,West Virginia,26516
"Mercer, West Virginia",54055,Mercer,West Virginia,58758
"Mineral, West Virginia",54057,Mineral,West Virginia,26868
"Mingo, West Virginia",54059,Mingo,West Virginia,23424
"Monongalia, West Virginia",54061,Monongalia,West Virginia,105612
"Monroe, West Virginia",54063,Monroe,West Virginia,13275
"Morgan, West Virginia",54065,Morgan,West Virginia,17884
"Nicholas, West Virginia",54067,Nicholas,West Virginia,24496
"Ohio, West Virginia",54069,Ohio,West Virginia,41411
"Pendleton, West Virginia",54071,Pendleton,West Virginia,6969
"Pleasants, West Virginia",54073,Pleasants,West Virginia,7460
"Pocahontas, West Virginia",54075,Pocahontas,West Virginia,8247
"Preston, West Virginia",54077,Preston,West Virginia,33432
"Putnam, West Virginia",54079,Putnam,West Virginia,56450
"Raleigh, West Virginia",54081,Raleigh,West Virginia,73361
"Randolph, West Virginia",54083,Randolph,West Virginia,28695
"Ritchie, West Virginia",54085,Ritchie,West Virginia,9554
"Roane, West Virginia",54087,Roane,West Virginia,13688
"Summers, West Virginia",54089,Summers,West Virginia,12573
"Taylor, West Virginia",54091,Taylor,West Virginia,16695
"Tucker, West Virginia",54093,Tucker,West Virginia,6839
"Tyler, West Virginia",54095,Tyler,West Virginia,8591
"Upshur, West Virginia",54097,Upshur,West Virginia,24176
"Wayne, West Virginia",54099,Wayne,West Virginia,39402
"Webster, West Virginia",54101,Webster,West Virginia,8114
"Wetzel, West Virginia",54103,Wetzel,West Virginia,15065
"Wirt, West Virginia",54105,Wirt,West Virginia,5821
"Wood, West Virginia",54107,Wood,West Virginia,83518
"Wyoming, West Virginia",54109,Wyoming,West Virginia,20394
"Adams, Wisconsin",55001,Adams,Wisconsin,20220
"Ashland, Wisconsin",55003,Ashland,Wisconsin,15562
"Barron, Wisconsin",55005,Barron,Wisconsin,45244
"Bayfield, Wisconsin",55007,Bayfield,Wisconsin,15036
"Brown, Wisconsin",55009,Brown,Wisconsin,264542
"Buffalo, Wisconsin",55011,Buffalo,Wisconsin,13031
"Burnett, Wisconsin",55013,Burnett,Wisconsin,15414
"Calumet, Wisconsin",55015,Calumet,Wisconsin,50089
"Chippewa, Wisconsin",55017,Chippewa,Wisconsin,64658
"Clark, Wisconsin",55019,Clark,Wisconsin,34774
"Columbia, Wisconsin",55021,Columbia,Wisconsin,57532
"Crawford, Wisconsin",55023,Crawford,Wisconsin,16131
"Dane, Wisconsin",55025,Dane,Wisconsin,546695
"Dodge, Wisconsin",55027,Dodge,Wisconsin,87839
"Door, Wisconsin",55029,Door,Wisconsin,27668
"Douglas, Wisconsin",55031,Douglas,Wisconsin,43150
"Dunn, Wisconsin",55033,Dunn,Wisconsin,45368
"Eau Claire, Wisconsin",55035,Eau Claire,Wisconsin,104646
"Florence, Wisconsin",55037,Florence,Wisconsin,4295
"Fond du Lac, Wisconsin",55039,Fond du Lac,Wisconsin,103403
"Forest, Wisconsin",55041,Forest,Wisconsin,9004
"Grant, Wisconsin",55043,Grant,Wisconsin,51439
"Green, Wisconsin",55045,Green,Wisconsin,36960
"Green Lake, Wisconsin",55047,Green Lake,Wisconsin,18913
"Iowa, Wisconsin",55049,Iowa,Wisconsin,23678
"Iron, Wisconsin",55051,Iron,Wisconsin,5687
"Jackson, Wisconsin",55053,Jackson,Wisconsin,20643
"Jefferson, Wisconsin",55055,Jefferson,Wisconsin,84769
"Juneau, Wisconsin",55057,Juneau,Wisconsin,26687
"Kenosha, Wisconsin",55059,Kenosha,Wisconsin,169561
"Kewaunee, Wisconsin",55061,Kewaunee,Wisconsin,20434
"La Crosse, Wisconsin",55063,La Crosse,Wisconsin,118016
"Lafayette, Wisconsin",55065,Lafayette,Wisconsin,16665
"Langlade, Wisconsin",55067,Langlade,Wisconsin,19189
"Lincoln, Wisconsin",55069,Lincoln,Wisconsin,27593
"Manitowoc, Wisconsin",55071,Manitowoc,Wisconsin,78981
"Marathon, Wisconsin",55073,Marathon,Wisconsin,135692
"Marinette, Wisconsin",55075,Marinette,Wisconsin,40350
"Marquette, Wisconsin",55077,Marquette,Wisconsin,15574
"Menominee, Wisconsin",55078,Menominee,Wisconsin,4556
"Milwaukee, Wisconsin",55079,Milwaukee,Wisconsin,945726
"Monroe, Wisconsin",55081,Monroe,Wisconsin,46253
"Oconto, Wisconsin",55083,Oconto,Wisconsin,37930
"Oneida, Wisconsin",55085,Oneida,Wisconsin,35595
"Outagamie, Wisconsin",55087,Outagamie,Wisconsin,187885
"Ozaukee, Wisconsin",55089,Ozaukee,Wisconsin,89221
"Pepin, Wisconsin",55091,Pepin,Wisconsin,7287
"Pierce, Wisconsin",55093,Pierce,Wisconsin,42754
"Polk, Wisconsin",55095,Polk,Wisconsin,43783
"Portage, Wisconsin",55097,Portage,Wisconsin,70772
"Price, Wisconsin",55099,Price,Wisconsin,13351
"Racine, Wisconsin",55101,Racine,Wisconsin,196311
"Richland, Wisconsin",55103,Richland,Wisconsin,17252
"Rock, Wisconsin",55105,Rock,Wisconsin,163354
"Rusk, Wisconsin",55107,Rusk,Wisconsin,14178
"St. Croix, Wisconsin",55109,St. Croix,Wisconsin,90687
"Sauk, Wisconsin",55111,Sauk,Wisconsin,64442
"Sawyer, Wisconsin",55113,Sawyer,Wisconsin,16558
